"monthId";"avgUpVote";"avgDownVote";"answers";"users";"answerByUser";"expert"
"50";"3,9463";"0,1157";"242";"59";"4,1017";"1"
"51";"2,9913";"0,0568";"229";"63";"3,6349";"1"
"52";"3,3205";"0,0811";"259";"62";"4,1774";"1"
"53";"2,7331";"0,1933";"326";"73";"4,4658";"1"
"54";"3,3543";"0,0673";"223";"63";"3,5397";"1"
"55";"3,2434";"0,1504";"226";"61";"3,7049";"1"
"56";"3,9532";"0,0851";"235";"59";"3,9831";"1"
"57";"3,3834";"0,0672";"253";"61";"4,1475";"1"
"58";"3,0795";"0,0909";"264";"65";"4,0615";"1"
"59";"2,0149";"0,1194";"67";"29";"2,3103";"1"
"6";"5,6429";"0,2143";"14";"12";"1,1667";"0"
"7";"7,3077";"0,1538";"13";"12";"1,0833";"0"
"8";"3,8947";"0,0526";"19";"18";"1,0556";"0"
"9";"4,9000";"0,1000";"10";"9";"1,1111";"0"
"10";"4,5000";"0,3750";"24";"17";"1,4118";"0"
"11";"4,1667";"0,0000";"12";"10";"1,2000";"0"
"12";"3,8667";"0,2667";"15";"13";"1,1538";"0"
"13";"3,7500";"0,0000";"16";"10";"1,6000";"0"
"14";"2,3636";"0,0909";"11";"10";"1,1000";"0"
"15";"3,6667";"0,1667";"18";"14";"1,2857";"0"
"16";"3,1765";"0,2941";"17";"16";"1,0625";"0"
"17";"2,1250";"0,4375";"16";"13";"1,2308";"0"
"18";"2,6500";"0,1500";"20";"18";"1,1111";"0"
"19";"3,3704";"0,2593";"27";"21";"1,2857";"0"
"20";"1,9375";"0,1875";"32";"25";"1,2800";"0"
"21";"2,7391";"0,0870";"23";"16";"1,4375";"0"
"22";"1,6250";"0,0000";"16";"13";"1,2308";"0"
"23";"1,3200";"0,0800";"25";"22";"1,1364";"0"
"24";"2,1538";"0,0385";"26";"21";"1,2381";"0"
"25";"1,5641";"0,2051";"39";"32";"1,2188";"0"
"26";"1,7222";"0,1944";"36";"24";"1,5000";"0"
"27";"1,8600";"0,3800";"50";"29";"1,7241";"0"
"28";"1,3043";"0,2391";"46";"26";"1,7692";"0"
"29";"2,0270";"0,2703";"37";"36";"1,0278";"0"
"30";"1,6304";"0,3261";"46";"28";"1,6429";"0"
"31";"1,7143";"0,1714";"35";"27";"1,2963";"0"
"32";"1,4655";"0,1724";"58";"46";"1,2609";"0"
"33";"2,1702";"0,1277";"47";"37";"1,2703";"0"
"34";"2,3393";"0,1071";"56";"42";"1,3333";"0"
"35";"2,4444";"0,2667";"45";"40";"1,1250";"0"
"36";"1,7660";"0,1915";"47";"42";"1,1190";"0"
"37";"2,0571";"0,2286";"35";"32";"1,0938";"0"
"38";"2,3939";"0,1667";"66";"57";"1,1579";"0"
"39";"1,8525";"0,1967";"61";"55";"1,1091";"0"
"40";"2,1864";"0,1525";"59";"43";"1,3721";"0"
"41";"1,7656";"0,1250";"64";"48";"1,3333";"0"
"42";"1,8125";"0,1042";"48";"37";"1,2973";"0"
"43";"1,5686";"0,1373";"51";"45";"1,1333";"0"
"44";"1,8904";"0,2192";"73";"53";"1,3774";"0"
"45";"1,4906";"0,3396";"53";"37";"1,4324";"0"
"46";"1,6724";"0,3103";"58";"38";"1,5263";"0"
"47";"1,6133";"0,2800";"75";"52";"1,4423";"0"
"48";"1,7966";"0,3051";"59";"44";"1,3409";"0"
"49";"2,4364";"0,2000";"55";"40";"1,3750";"0"
"50";"1,5072";"0,2174";"69";"43";"1,6047";"0"
"51";"1,6186";"0,2784";"97";"66";"1,4697";"0"
"52";"1,0127";"0,1899";"79";"65";"1,2154";"0"
"53";"1,2208";"0,2078";"77";"65";"1,1846";"0"
"54";"1,5000";"0,2222";"72";"59";"1,2203";"0"
"55";"1,2794";"0,1618";"68";"46";"1,4783";"0"
"56";"1,6126";"0,2973";"111";"68";"1,6324";"0"
"57";"1,4554";"0,2772";"101";"67";"1,5075";"0"
"58";"1,5500";"0,2100";"100";"68";"1,4706";"0"
"59";"1,1600";"0,2000";"25";"21";"1,1905";"0"
