"bestAnswer";"ex";"reputation"
"5";"1";"463"
"1";"1";"326"
"6";"1";"1164"
"1";"1";"383"
"30";"1";"2058"
"5";"1";"475"
"1";"0";"36"
"1";"0";"180"
"12";"1";"1330"
"2";"0";"121"
"1";"0";"66"
"1";"0";"198"
"15";"1";"1902"
"4";"1";"532"
"30";"1";"2578"
"1";"0";"16"
"2";"1";"535"
"33";"1";"2361"
"3";"1";"336"
"1";"0";"56"
"1";"0";"6"
"1";"0";"26"
"1";"0";"137"
"1";"1";"346"
"3";"1";"516"
"1";"0";"107"
"35";"1";"2645"
"4";"1";"287"
"2";"0";"211"
"1";"0";"101"
"6";"1";"670"
"1";"0";"166"
"1";"1";"301"
"3";"1";"522"
"5";"1";"333"
"1";"0";"176"
"1";"0";"41"
"4";"1";"583"
"1";"0";"36"
"1";"1";"740"
"2";"1";"302"
"1";"0";"174"
"1";"1";"536"
"1";"0";"96"
"1";"0";"211"
"1";"0";"136"
"1";"0";"163"
"2";"0";"181"
"2";"0";"161"
"2";"0";"171"
"1";"0";"36"
"22";"1";"2431"
"1";"0";"49"
"5";"1";"486"
"1";"0";"36"
"1";"0";"202"
"8";"1";"959"
"4";"1";"341"
"1";"0";"46"
"1";"0";"56"
"3";"0";"146"
"14";"1";"1965"
"1";"0";"116"
"1";"0";"166"
"4";"1";"519"
"1";"0";"98"
"1";"0";"78"
"1";"0";"70"
"1";"0";"176"
"10";"1";"1284"
"6";"1";"580"
"2";"0";"129"
"4";"0";"174"
"1";"0";"146"
"6";"1";"655"
"1";"0";"66"
"2";"1";"296"
"1";"0";"81"
"1";"0";"36"
"39";"1";"4081"
"1";"0";"36"
"4";"1";"483"
"1";"0";"66"
"1";"0";"46"
"17";"1";"1908"
"1";"1";"324"
"1";"0";"201"
"1";"0";"170"
"1";"0";"45"
"2";"0";"184"
"1";"0";"106"
"1";"0";"201"
"1";"0";"88"
"5";"0";"151"
"2";"1";"582"
"1";"0";"71"
"1";"0";"127"
"1";"0";"56"
"1";"0";"54"
"1";"0";"136"
"11";"1";"1739"
"1";"0";"88"
"1";"0";"46"
"2";"0";"61"
"2";"0";"108"
"20";"1";"1769"
"1";"0";"196"
"6";"1";"1086"
"1";"0";"164"
"1";"1";"245"
"1";"0";"61"
"1";"0";"126"
"1";"0";"116"
"12";"1";"1004"
"1";"0";"116"
"1";"0";"135"
"2";"0";"193"
"2";"1";"417"
"1";"0";"41"
"11";"1";"1582"
"1";"0";"16"
"1";"0";"56"
"1";"0";"198"
"7";"1";"448"
"3";"1";"320"
"2";"1";"316"
"1";"1";"278"
"15";"1";"1247"
"2";"1";"422"
"6";"1";"1024"
"2";"0";"59"
"1";"0";"104"
"4";"1";"379"
"1";"0";"66"
"16";"1";"1952"
"1";"0";"145"
"2";"1";"286"
"3";"1";"302"
"1";"0";"145"
"1";"0";"26"
"1";"0";"126"
"1";"0";"36"
"4";"1";"311"
"1";"0";"71"
"2";"1";"317"
"1";"0";"36"
"3";"1";"406"
"1";"0";"196"
"1";"0";"156"
"2";"0";"61"
"1";"0";"176"
"1";"0";"26"
"1";"0";"46"
"1";"0";"128"
"1";"0";"126"
"1";"0";"21"
"1";"0";"120"
"2";"0";"121"
"1";"0";"66"
"3";"0";"143"
"2";"0";"72"
"4";"1";"415"
"1";"0";"82"
"4";"1";"413"
"1";"0";"58"
"1";"0";"138"
"1";"1";"242"
"1";"0";"19"
"1";"0";"124"
"1";"0";"26"
"1";"0";"48"
"1";"1";"588"
"2";"0";"93"
"2";"1";"308"
"1";"0";"76"
"6";"1";"421"
"1";"0";"16"
"1";"0";"176"
"1";"0";"36"
"3";"0";"121"
"1";"0";"43"
"2";"0";"95"
"2";"0";"141"
"1";"0";"46"
"2";"0";"161"
"2";"0";"64"
"1";"0";"36"
"1";"0";"16"
"7";"1";"418"
"2";"0";"121"
"1";"0";"79"
"3";"0";"124"
"1";"0";"168"
"1";"0";"183"
"10";"1";"878"
"22";"1";"1825"
"3";"0";"142"
"1";"0";"36"
"1";"0";"116"
"4";"1";"387"
"6";"1";"441"
"1";"0";"66"
"1";"0";"58"
"1";"1";"254"
"1";"0";"121"
"1";"0";"142"
"4";"1";"595"
"1";"0";"134"
"1";"0";"46"
"1";"0";"56"
"1";"0";"24"
"2";"0";"95"
"1";"0";"84"
"1";"0";"112"
"1";"0";"164"
"1";"0";"56"
"2";"0";"93"
"3";"0";"145"
"1";"0";"71"
"1";"0";"56"
"1";"0";"36"
"1";"0";"148"
"1";"0";"46"
