"monthid";"tagname";"avgThreadLen";"hasExp"
"12";"evolution";"1,0000";"0"
"12";"genetics";"0,5000";"0"
"13";"evolution";"11,0000";"1"
"13";"cell-biology";"7,3333";"1"
"13";"physiology";"6,6667";"1"
"13";"human-biology";"6,1333";"1"
"13";"neuroscience";"4,8000";"1"
"13";"molecular-biology";"4,5000";"1"
"13";"genetics";"4,5000";"1"
"13";"bioinformatics";"3,7500";"1"
"13";"dna";"1,0000";"1"
"13";"bioinformatics";"1,0000";"0"
"14";"evolution";"14,1111";"1"
"14";"bioinformatics";"12,0000";"1"
"14";"human-biology";"9,0000";"1"
"14";"dna";"6,3333";"1"
"14";"molecular-biology";"6,2000";"1"
"14";"physiology";"5,7143";"1"
"14";"genetics";"5,6667";"1"
"14";"cell-biology";"5,5000";"1"
"14";"biochemistry";"4,6667";"1"
"14";"neuroscience";"4,0000";"1"
"14";"biochemistry";"1,0000";"0"
"15";"evolution";"10,8333";"1"
"15";"cell-biology";"7,7500";"1"
"15";"molecular-biology";"7,6000";"1"
"15";"physiology";"6,6250";"1"
"15";"genetics";"5,7000";"1"
"15";"biochemistry";"4,7500";"1"
"15";"dna";"4,5000";"1"
"15";"human-biology";"4,3200";"1"
"15";"neuroscience";"3,7500";"1"
"15";"bioinformatics";"3,0000";"1"
"16";"evolution";"9,6154";"1"
"16";"human-biology";"8,7000";"1"
"16";"bioinformatics";"6,5000";"1"
"16";"neuroscience";"5,3333";"1"
"16";"molecular-biology";"5,0000";"1"
"16";"cell-biology";"4,1429";"1"
"16";"dna";"4,0000";"1"
"16";"genetics";"3,7143";"1"
"16";"physiology";"3,6000";"1"
"16";"biochemistry";"3,0000";"1"
"16";"human-biology";"1,0000";"0"
"17";"molecular-biology";"12,0000";"1"
"17";"bioinformatics";"8,0000";"1"
"17";"biochemistry";"7,5000";"1"
"17";"neuroscience";"7,2857";"1"
"17";"evolution";"6,3684";"1"
"17";"physiology";"6,0000";"1"
"17";"human-biology";"5,8519";"1"
"17";"genetics";"3,0000";"1"
"17";"dna";"2,0000";"1"
"17";"human-biology";"2,0000";"0"
"17";"molecular-biology";"1,0000";"0"
"18";"genetics";"12,7143";"1"
"18";"evolution";"8,8000";"1"
"18";"neuroscience";"6,5000";"1"
"18";"human-biology";"6,3333";"1"
"18";"physiology";"6,0000";"0"
"18";"bioinformatics";"4,0000";"1"
"18";"molecular-biology";"3,5000";"1"
"18";"biochemistry";"2,7500";"1"
"18";"cell-biology";"1,6667";"1"
"18";"physiology";"1,0000";"1"
"18";"human-biology";"1,0000";"0"
"18";"biochemistry";"0,0000";"0"
"19";"evolution";"9,3000";"1"
"19";"human-biology";"6,0000";"1"
"19";"dna";"6,0000";"1"
"19";"cell-biology";"4,4000";"1"
"19";"genetics";"3,7500";"1"
"19";"bioinformatics";"3,4000";"1"
"19";"neuroscience";"3,4000";"1"
"19";"physiology";"3,3333";"1"
"19";"biochemistry";"2,0000";"0"
"19";"molecular-biology";"2,0000";"1"
"19";"biochemistry";"1,0000";"1"
"20";"bioinformatics";"10,2500";"1"
"20";"evolution";"8,8000";"1"
"20";"molecular-biology";"6,0000";"1"
"20";"biochemistry";"5,4000";"1"
"20";"human-biology";"5,3043";"1"
"20";"genetics";"4,6000";"1"
"20";"neuroscience";"4,4286";"1"
"20";"cell-biology";"3,2500";"1"
"20";"dna";"3,0000";"1"
"20";"physiology";"3,0000";"1"
"20";"biochemistry";"2,0000";"0"
"20";"evolution";"1,0000";"0"
"20";"molecular-biology";"1,0000";"0"
"21";"cell-biology";"10,0000";"1"
"21";"evolution";"9,5714";"1"
"21";"bioinformatics";"6,2857";"1"
"21";"neuroscience";"5,6000";"1"
"21";"physiology";"5,6000";"1"
"21";"genetics";"4,1429";"1"
"21";"human-biology";"4,0588";"1"
"21";"molecular-biology";"4,0000";"1"
"21";"biochemistry";"3,7500";"1"
"21";"dna";"3,0000";"1"
"22";"evolution";"8,4706";"1"
"22";"human-biology";"5,5000";"1"
"22";"bioinformatics";"5,3750";"1"
"22";"molecular-biology";"5,0000";"1"
"22";"genetics";"4,8571";"1"
"22";"cell-biology";"4,5000";"1"
"22";"neuroscience";"4,1250";"1"
"22";"dna";"4,0000";"1"
"22";"physiology";"4,0000";"1"
"22";"biochemistry";"3,6667";"1"
"22";"human-biology";"2,0000";"0"
"22";"physiology";"0,0000";"0"
"23";"evolution";"13,6000";"1"
"23";"dna";"10,0000";"1"
"23";"genetics";"6,7500";"1"
"23";"human-biology";"6,2632";"1"
"23";"biochemistry";"6,0000";"1"
"23";"cell-biology";"5,3333";"1"
"23";"physiology";"5,0000";"1"
"23";"molecular-biology";"4,5000";"1"
"23";"neuroscience";"4,4286";"1"
"23";"bioinformatics";"3,0000";"1"
"24";"evolution";"6,8333";"1"
"24";"cell-biology";"6,3333";"1"
"24";"physiology";"5,8333";"1"
"24";"human-biology";"5,5000";"1"
"24";"genetics";"5,4286";"1"
"24";"bioinformatics";"5,2500";"1"
"24";"neuroscience";"4,7500";"1"
"24";"biochemistry";"3,0000";"1"
"24";"molecular-biology";"2,8000";"1"
"24";"neuroscience";"1,6667";"0"
"24";"molecular-biology";"1,0000";"0"
"24";"evolution";"1,0000";"0"
"24";"human-biology";"0,5000";"0"
"25";"physiology";"31,5000";"1"
"25";"evolution";"10,0769";"1"
"25";"bioinformatics";"9,6667";"1"
"25";"neuroscience";"6,8750";"1"
"25";"genetics";"6,7500";"1"
"25";"dna";"6,5000";"1"
"25";"human-biology";"5,9000";"1"
"25";"molecular-biology";"5,7895";"1"
"25";"biochemistry";"5,3750";"1"
"25";"cell-biology";"5,0000";"1"
"25";"physiology";"4,0000";"0"
"25";"bioinformatics";"0,0000";"0"
"25";"cell-biology";"0,0000";"0"
"26";"evolution";"7,7368";"1"
"26";"human-biology";"4,1852";"1"
"26";"genetics";"3,7143";"1"
"26";"molecular-biology";"3,6667";"1"
"26";"physiology";"3,6000";"1"
"26";"neuroscience";"3,4545";"1"
"26";"bioinformatics";"3,3333";"1"
"26";"biochemistry";"2,6667";"1"
"26";"cell-biology";"2,0000";"1"
"26";"human-biology";"1,0000";"0"
"26";"physiology";"0,0000";"0"
"27";"neuroscience";"7,1818";"1"
"27";"dna";"7,0000";"1"
"27";"bioinformatics";"6,5000";"1"
"27";"evolution";"5,7647";"1"
"27";"genetics";"5,0000";"1"
"27";"cell-biology";"5,0000";"1"
"27";"human-biology";"4,6400";"1"
"27";"biochemistry";"4,5000";"1"
"27";"molecular-biology";"4,4000";"1"
"27";"physiology";"2,8000";"1"
"27";"evolution";"1,0000";"0"
"27";"human-biology";"1,0000";"0"
"28";"evolution";"9,3750";"1"
"28";"bioinformatics";"8,0000";"1"
"28";"genetics";"7,3571";"1"
"28";"molecular-biology";"6,7500";"1"
"28";"neuroscience";"6,0000";"1"
"28";"human-biology";"5,7059";"1"
"28";"cell-biology";"5,6667";"1"
"28";"dna";"4,6667";"1"
"28";"biochemistry";"4,6250";"1"
"28";"physiology";"3,7143";"1"
"28";"physiology";"1,0000";"0"
"29";"evolution";"10,4000";"1"
"29";"dna";"7,5000";"1"
"29";"genetics";"6,5455";"1"
"29";"human-biology";"5,0769";"1"
"29";"physiology";"4,3333";"1"
"29";"neuroscience";"4,2500";"1"
"29";"molecular-biology";"4,1818";"1"
"29";"bioinformatics";"3,2500";"1"
"29";"cell-biology";"3,2000";"1"
"29";"biochemistry";"3,1429";"1"
"29";"physiology";"1,0000";"0"
"29";"molecular-biology";"1,0000";"0"
"29";"bioinformatics";"0,0000";"0"
"30";"genetics";"8,0000";"1"
"30";"evolution";"7,6875";"1"
"30";"bioinformatics";"7,6667";"1"
"30";"neuroscience";"7,2500";"1"
"30";"biochemistry";"6,8000";"1"
"30";"molecular-biology";"6,7500";"1"
"30";"cell-biology";"6,0000";"1"
"30";"dna";"5,7500";"1"
"30";"physiology";"5,1667";"1"
"30";"human-biology";"4,2609";"1"
"31";"cell-biology";"15,5000";"1"
"31";"evolution";"6,7647";"1"
"31";"molecular-biology";"6,5714";"1"
"31";"biochemistry";"6,5000";"1"
"31";"bioinformatics";"6,5000";"1"
"31";"physiology";"5,3333";"1"
"31";"human-biology";"5,2857";"1"
"31";"genetics";"4,1111";"1"
"31";"dna";"4,0000";"1"
"31";"neuroscience";"3,0909";"1"
"31";"biochemistry";"0,0000";"0"
"32";"evolution";"6,8750";"1"
"32";"molecular-biology";"6,5000";"1"
"32";"cell-biology";"6,1429";"1"
"32";"neuroscience";"4,9167";"1"
"32";"genetics";"4,4000";"1"
"32";"dna";"4,1667";"1"
"32";"bioinformatics";"4,0000";"1"
"32";"human-biology";"4,0000";"1"
"32";"physiology";"3,9310";"1"
"32";"biochemistry";"3,8000";"1"
"32";"physiology";"2,0000";"0"
"32";"evolution";"1,0000";"0"
"32";"cell-biology";"1,0000";"0"
"32";"human-biology";"0,0000";"0"
"33";"bioinformatics";"7,0000";"1"
"33";"biochemistry";"6,7143";"1"
"33";"evolution";"6,6364";"1"
"33";"dna";"5,4000";"1"
"33";"neuroscience";"5,0000";"1"
"33";"human-biology";"4,4737";"1"
"33";"genetics";"4,2353";"1"
"33";"physiology";"3,9167";"1"
"33";"molecular-biology";"3,8750";"1"
"33";"cell-biology";"2,3333";"1"
"33";"physiology";"1,0000";"0"
"33";"cell-biology";"0,0000";"0"
"33";"human-biology";"0,0000";"0"
"34";"evolution";"7,1875";"1"
"34";"dna";"7,0000";"1"
"34";"human-biology";"5,3636";"1"
"34";"cell-biology";"5,0000";"1"
"34";"bioinformatics";"4,5556";"1"
"34";"genetics";"3,8667";"1"
"34";"biochemistry";"3,6667";"1"
"34";"physiology";"3,6111";"1"
"34";"neuroscience";"3,3750";"1"
"34";"molecular-biology";"3,0000";"1"
"34";"human-biology";"1,5000";"0"
"34";"evolution";"0,0000";"0"
"34";"physiology";"0,0000";"0"
"35";"evolution";"7,4828";"1"
"35";"bioinformatics";"6,8333";"1"
"35";"biochemistry";"6,2000";"1"
"35";"cell-biology";"6,0000";"1"
"35";"physiology";"5,8000";"1"
"35";"dna";"5,6667";"1"
"35";"genetics";"5,5714";"1"
"35";"neuroscience";"5,3750";"1"
"35";"molecular-biology";"5,0000";"1"
"35";"human-biology";"4,8276";"1"
"35";"human-biology";"1,5000";"0"
"35";"genetics";"1,0000";"0"
"35";"physiology";"1,0000";"0"
"35";"biochemistry";"0,0000";"0"
"35";"evolution";"0,0000";"0"
"36";"evolution";"8,3077";"1"
"36";"dna";"6,1250";"1"
"36";"human-biology";"5,7333";"1"
"36";"neuroscience";"5,2000";"1"
"36";"cell-biology";"5,0000";"1"
"36";"biochemistry";"5,0000";"1"
"36";"molecular-biology";"5,0000";"1"
"36";"genetics";"4,0000";"1"
"36";"bioinformatics";"3,9167";"1"
"36";"physiology";"2,6000";"1"
"36";"human-biology";"2,0000";"0"
"36";"bioinformatics";"1,0000";"0"
"36";"neuroscience";"0,0000";"0"
"37";"dna";"18,0000";"1"
"37";"bioinformatics";"10,2000";"1"
"37";"genetics";"8,0833";"1"
"37";"evolution";"7,4737";"1"
"37";"molecular-biology";"6,0909";"1"
"37";"neuroscience";"5,5455";"1"
"37";"human-biology";"5,1667";"1"
"37";"cell-biology";"5,0000";"1"
"37";"biochemistry";"4,6667";"1"
"37";"physiology";"4,0000";"1"
"37";"human-biology";"1,0000";"0"
"38";"dna";"12,5000";"1"
"38";"physiology";"10,5556";"1"
"38";"bioinformatics";"9,4286";"1"
"38";"human-biology";"7,0833";"1"
"38";"molecular-biology";"6,9231";"1"
"38";"evolution";"6,6250";"1"
"38";"genetics";"6,0000";"1"
"38";"biochemistry";"3,8333";"1"
"38";"cell-biology";"3,0000";"1"
"38";"neuroscience";"2,4286";"1"
"38";"human-biology";"1,0000";"0"
"38";"bioinformatics";"0,0000";"0"
"39";"human-biology";"8,5333";"1"
"39";"evolution";"8,2414";"1"
"39";"cell-biology";"7,5000";"1"
"39";"genetics";"7,0833";"1"
"39";"neuroscience";"7,0000";"1"
"39";"dna";"5,0000";"1"
"39";"physiology";"5,0000";"0"
"39";"molecular-biology";"4,9032";"1"
"39";"biochemistry";"4,3636";"1"
"39";"bioinformatics";"4,1538";"1"
"39";"physiology";"3,2500";"1"
"39";"genetics";"0,0000";"0"
"40";"evolution";"6,2500";"1"
"40";"human-biology";"5,4706";"1"
"40";"dna";"5,2500";"1"
"40";"bioinformatics";"5,0000";"1"
"40";"neuroscience";"4,6316";"1"
"40";"physiology";"4,5385";"1"
"40";"cell-biology";"4,4286";"1"
"40";"molecular-biology";"3,6250";"1"
"40";"biochemistry";"3,0000";"1"
"40";"genetics";"2,6667";"1"
"40";"human-biology";"1,0000";"0"
"40";"bioinformatics";"1,0000";"0"
"40";"evolution";"0,5000";"0"
"40";"genetics";"0,0000";"0"
"40";"physiology";"0,0000";"0"
"41";"evolution";"8,4762";"1"
"41";"physiology";"6,9000";"1"
"41";"genetics";"6,1429";"1"
"41";"cell-biology";"6,0000";"1"
"41";"human-biology";"5,9143";"1"
"41";"biochemistry";"5,6667";"1"
"41";"neuroscience";"5,6667";"1"
"41";"dna";"5,4000";"1"
"41";"bioinformatics";"5,3750";"1"
"41";"molecular-biology";"3,0000";"1"
"41";"cell-biology";"2,5000";"0"
"41";"human-biology";"0,0000";"0"
"42";"neuroscience";"8,8000";"1"
"42";"dna";"8,6667";"1"
"42";"cell-biology";"8,0000";"1"
"42";"bioinformatics";"7,5000";"1"
"42";"human-biology";"6,0750";"1"
"42";"evolution";"5,9474";"1"
"42";"physiology";"5,7500";"1"
"42";"genetics";"5,5000";"1"
"42";"molecular-biology";"4,4615";"1"
"42";"biochemistry";"4,1000";"1"
"42";"genetics";"1,0000";"0"
"42";"human-biology";"0,0000";"0"
"43";"neuroscience";"12,5000";"1"
"43";"evolution";"11,7500";"1"
"43";"physiology";"11,0000";"1"
"43";"molecular-biology";"7,2500";"1"
"43";"human-biology";"6,1364";"1"
"43";"cell-biology";"6,1111";"1"
"43";"bioinformatics";"5,6667";"1"
"43";"genetics";"5,0833";"1"
"43";"biochemistry";"4,6667";"1"
"43";"dna";"3,5000";"1"
"43";"human-biology";"0,0000";"0"
"43";"evolution";"0,0000";"0"
"43";"molecular-biology";"0,0000";"0"
"43";"biochemistry";"0,0000";"0"
"43";"cell-biology";"0,0000";"0"
"44";"neuroscience";"8,3000";"1"
"44";"genetics";"6,7368";"1"
"44";"biochemistry";"6,7143";"1"
"44";"human-biology";"6,6667";"1"
"44";"evolution";"6,2308";"1"
"44";"dna";"6,0000";"1"
"44";"molecular-biology";"5,8000";"1"
"44";"physiology";"5,6250";"1"
"44";"cell-biology";"4,8333";"1"
"44";"bioinformatics";"4,3333";"1"
"44";"bioinformatics";"2,0000";"0"
"44";"dna";"1,0000";"0"
"44";"evolution";"0,0000";"0"
"44";"molecular-biology";"0,0000";"0"
"44";"human-biology";"0,0000";"0"
"45";"dna";"8,8889";"1"
"45";"physiology";"8,5000";"1"
"45";"cell-biology";"8,0000";"1"
"45";"evolution";"7,8500";"1"
"45";"bioinformatics";"6,1333";"1"
"45";"neuroscience";"6,0000";"1"
"45";"biochemistry";"5,5000";"1"
"45";"molecular-biology";"5,4000";"1"
"45";"human-biology";"5,1875";"1"
"45";"genetics";"5,0833";"1"
"45";"bioinformatics";"1,0000";"0"
"45";"molecular-biology";"0,0000";"0"
"45";"genetics";"0,0000";"0"
"46";"evolution";"9,3500";"1"
"46";"bioinformatics";"8,2222";"1"
"46";"neuroscience";"6,8182";"1"
"46";"molecular-biology";"6,4615";"1"
"46";"genetics";"5,9286";"1"
"46";"human-biology";"5,6333";"1"
"46";"biochemistry";"5,5625";"1"
"46";"dna";"5,3333";"1"
"46";"physiology";"4,3750";"1"
"46";"physiology";"4,0000";"0"
"46";"cell-biology";"3,7500";"1"
"46";"dna";"1,0000";"0"
"46";"molecular-biology";"1,0000";"0"
"46";"human-biology";"1,0000";"0"
"46";"neuroscience";"0,0000";"0"
"47";"dna";"8,6000";"1"
"47";"molecular-biology";"7,6429";"1"
"47";"evolution";"7,3333";"1"
"47";"biochemistry";"6,8000";"1"
"47";"bioinformatics";"6,3077";"1"
"47";"genetics";"6,0667";"1"
"47";"neuroscience";"5,9091";"1"
"47";"human-biology";"5,5357";"1"
"47";"cell-biology";"3,6667";"1"
"47";"physiology";"3,5000";"1"
"47";"biochemistry";"2,0000";"0"
"47";"genetics";"1,0000";"0"
"47";"neuroscience";"1,0000";"0"
"47";"human-biology";"0,6667";"0"
"47";"molecular-biology";"0,0000";"0"
"47";"dna";"0,0000";"0"
"47";"evolution";"0,0000";"0"
"48";"biochemistry";"11,1250";"1"
"48";"neuroscience";"10,4545";"1"
"48";"physiology";"9,2000";"1"
"48";"evolution";"7,7778";"1"
"48";"dna";"7,6667";"1"
"48";"genetics";"7,6364";"1"
"48";"human-biology";"7,3714";"1"
"48";"molecular-biology";"6,7000";"1"
"48";"bioinformatics";"5,3333";"1"
"48";"cell-biology";"3,2500";"1"
"48";"evolution";"0,0000";"0"
"48";"human-biology";"0,0000";"0"
"49";"bioinformatics";"8,7778";"1"
"49";"neuroscience";"8,5000";"1"
"49";"evolution";"8,0526";"1"
"49";"human-biology";"7,0000";"1"
"49";"molecular-biology";"6,9091";"1"
"49";"genetics";"6,8235";"1"
"49";"biochemistry";"4,4000";"1"
"49";"cell-biology";"4,0000";"1"
"49";"physiology";"3,3333";"1"
"49";"dna";"1,5000";"1"
"49";"evolution";"0,6667";"0"
"49";"genetics";"0,0000";"0"
"49";"human-biology";"0,0000";"0"
"50";"biochemistry";"11,2000";"1"
"50";"evolution";"9,8696";"1"
"50";"neuroscience";"7,0000";"1"
"50";"human-biology";"6,3182";"1"
"50";"dna";"6,0000";"1"
"50";"bioinformatics";"5,9000";"1"
"50";"cell-biology";"5,0000";"1"
"50";"genetics";"4,8462";"1"
"50";"physiology";"3,0000";"1"
"50";"molecular-biology";"2,6000";"1"
"50";"genetics";"1,0000";"0"
"50";"biochemistry";"0,0000";"0"
"50";"human-biology";"0,0000";"0"
"50";"molecular-biology";"0,0000";"0"
"50";"cell-biology";"0,0000";"0"
"50";"evolution";"0,0000";"0"
"51";"dna";"9,0000";"1"
"51";"neuroscience";"7,5000";"1"
"51";"human-biology";"6,0000";"1"
"51";"evolution";"5,5263";"1"
"51";"physiology";"5,0000";"1"
"51";"biochemistry";"5,0000";"1"
"51";"molecular-biology";"4,9000";"1"
"51";"bioinformatics";"4,7000";"1"
"51";"cell-biology";"4,7000";"1"
"51";"genetics";"3,7500";"1"
"51";"human-biology";"0,2500";"0"
"51";"neuroscience";"0,0000";"0"
"51";"evolution";"0,0000";"0"
"51";"molecular-biology";"0,0000";"0"
"52";"evolution";"7,2083";"1"
"52";"human-biology";"6,1034";"1"
"52";"genetics";"6,0000";"1"
"52";"dna";"5,5000";"1"
"52";"physiology";"4,9167";"1"
"52";"bioinformatics";"3,4286";"1"
"52";"neuroscience";"3,2308";"1"
"52";"cell-biology";"3,2000";"1"
"52";"molecular-biology";"2,9412";"1"
"52";"biochemistry";"2,8000";"1"
"52";"biochemistry";"2,0000";"0"
"52";"physiology";"1,5000";"0"
"52";"bioinformatics";"1,0000";"0"
"52";"molecular-biology";"0,6667";"0"
"52";"human-biology";"0,3333";"0"
"52";"genetics";"0,2500";"0"
"52";"evolution";"0,0000";"0"
"52";"cell-biology";"0,0000";"0"
"53";"evolution";"9,1364";"1"
"53";"dna";"5,4000";"1"
"53";"neuroscience";"5,3125";"1"
"53";"bioinformatics";"5,1538";"1"
"53";"human-biology";"4,9474";"1"
"53";"genetics";"4,3684";"1"
"53";"molecular-biology";"4,2632";"1"
"53";"cell-biology";"3,8333";"1"
"53";"biochemistry";"3,7273";"1"
"53";"neuroscience";"2,5000";"0"
"53";"physiology";"2,3750";"1"
"53";"physiology";"1,0000";"0"
"53";"bioinformatics";"1,0000";"0"
"53";"molecular-biology";"1,0000";"0"
"53";"human-biology";"0,4000";"0"
"53";"cell-biology";"0,2000";"0"
"53";"biochemistry";"0,0000";"0"
"53";"dna";"0,0000";"0"
"53";"evolution";"0,0000";"0"
"54";"human-biology";"6,9643";"1"
"54";"evolution";"6,3529";"1"
"54";"molecular-biology";"5,3636";"1"
"54";"dna";"5,3333";"1"
"54";"neuroscience";"5,2308";"1"
"54";"genetics";"4,5333";"1"
"54";"physiology";"4,5000";"1"
"54";"cell-biology";"4,2222";"1"
"54";"biochemistry";"3,7500";"1"
"54";"bioinformatics";"3,4000";"1"
"54";"bioinformatics";"1,5000";"0"
"54";"cell-biology";"1,0000";"0"
"54";"genetics";"1,0000";"0"
"54";"physiology";"1,0000";"0"
"54";"molecular-biology";"0,7500";"0"
"54";"biochemistry";"0,0000";"0"
"54";"human-biology";"0,0000";"0"
"55";"evolution";"14,0000";"1"
"55";"dna";"6,3333";"1"
"55";"bioinformatics";"5,6000";"1"
"55";"genetics";"5,0667";"1"
"55";"physiology";"5,0000";"1"
"55";"neuroscience";"4,8889";"1"
"55";"cell-biology";"4,5000";"1"
"55";"human-biology";"4,4783";"1"
"55";"biochemistry";"3,6000";"1"
"55";"molecular-biology";"3,5000";"1"
"55";"neuroscience";"0,5000";"0"
"55";"evolution";"0,3333";"0"
"55";"bioinformatics";"0,2500";"0"
"55";"human-biology";"0,0000";"0"
"55";"biochemistry";"0,0000";"0"
"55";"cell-biology";"0,0000";"0"
"56";"neuroscience";"6,8750";"1"
"56";"human-biology";"5,5333";"1"
"56";"genetics";"5,5000";"1"
"56";"evolution";"5,2353";"1"
"56";"physiology";"4,1111";"1"
"56";"cell-biology";"4,0769";"1"
"56";"bioinformatics";"3,9167";"1"
"56";"molecular-biology";"3,8500";"1"
"56";"biochemistry";"3,2143";"1"
"56";"dna";"2,6667";"1"
"56";"bioinformatics";"0,6667";"0"
"56";"human-biology";"0,5556";"0"
"56";"cell-biology";"0,5000";"0"
"56";"physiology";"0,5000";"0"
"56";"genetics";"0,4286";"0"
"56";"evolution";"0,0000";"0"
"56";"biochemistry";"0,0000";"0"
"56";"molecular-biology";"0,0000";"0"
"57";"evolution";"6,0000";"1"
"57";"biochemistry";"5,8000";"1"
"57";"genetics";"5,5385";"1"
"57";"dna";"5,2222";"1"
"57";"human-biology";"4,7931";"1"
"57";"neuroscience";"4,6667";"1"
"57";"physiology";"3,7857";"1"
"57";"molecular-biology";"3,7619";"1"
"57";"cell-biology";"3,5000";"1"
"57";"bioinformatics";"2,7500";"1"
"57";"evolution";"1,5000";"0"
"57";"molecular-biology";"0,7500";"0"
"57";"neuroscience";"0,6667";"0"
"57";"biochemistry";"0,5000";"0"
"57";"physiology";"0,5000";"0"
"57";"human-biology";"0,3333";"0"
"57";"dna";"0,0000";"0"
"57";"genetics";"0,0000";"0"
"57";"cell-biology";"0,0000";"0"
"58";"dna";"9,7500";"1"
"58";"bioinformatics";"7,2857";"1"
"58";"evolution";"5,8919";"1"
"58";"biochemistry";"4,4000";"1"
"58";"genetics";"4,3529";"1"
"58";"human-biology";"4,2667";"1"
"58";"molecular-biology";"4,2000";"1"
"58";"physiology";"4,0000";"1"
"58";"neuroscience";"3,7000";"1"
"58";"cell-biology";"3,3333";"1"
"58";"human-biology";"1,0000";"0"
"58";"bioinformatics";"1,0000";"0"
"58";"biochemistry";"0,5000";"0"
"58";"cell-biology";"0,2500";"0"
"58";"molecular-biology";"0,0000";"0"
"58";"genetics";"0,0000";"0"
"58";"neuroscience";"0,0000";"0"
"58";"evolution";"0,0000";"0"
"58";"physiology";"0,0000";"0"
"59";"evolution";"6,1429";"1"
"59";"molecular-biology";"5,0000";"1"
"59";"physiology";"5,0000";"1"
"59";"genetics";"4,2857";"1"
"59";"biochemistry";"3,4286";"1"
"59";"cell-biology";"3,0000";"1"
"59";"human-biology";"2,7143";"1"
"59";"dna";"2,6667";"1"
"59";"bioinformatics";"2,0000";"1"
"59";"neuroscience";"1,5000";"1"
"59";"human-biology";"0,3333";"0"
"59";"evolution";"0,0000";"0"
"59";"genetics";"0,0000";"0"
"59";"dna";"0,0000";"0"
